DDCTransactionIdA6E4CCBE41982BBDE759469593FC6AC1_0, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf_TLpvPropa__7305C0EAF30EBAE6EBBBE09D23B9982D28009564, StartTime=2015.11.08-17.44.49, HierarchicalDDC, DataSize=3015881 bytes, Retrieved=true, Duration=0.362568ms, RunGuid=RunID9530EC7142B497094A2C5EA8DA64C877
DDCTransactionId7638492E47528BB0ECCA518AD38F512D_0, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__CA89507B8D820F4BC2690ECA204279B9555C9728, StartTime=2015.11.08-17.44.49, HierarchicalDDC, DataSize=4452 bytes, Retrieved=true, Duration=0.038490ms, RunGuid=RunID9530EC7142B497094A2C5EA8DA64C877
DDCTransactionIdE0CBBFFD41925001FE547A91D690FD3D_0, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___AFD2E7B6C000DBB57C3C2251719C132A8B58702E, StartTime=2015.11.08-17.44.49, HierarchicalDDC, DataSize=6591 bytes, Retrieved=true, Duration=0.024889ms, RunGuid=RunID9530EC7142B497094A2C5EA8DA64C877
DDCTransactionIdA5CE5D31426A23B8DC73DDB76A2D6250_0, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__FBBDD204E59CC3E3C9749161169905E65779DA9A, StartTime=2015.11.08-17.44.49, HierarchicalDDC, DataSize=6899 bytes, Retrieved=true, Duration=0.027198ms, RunGuid=RunID9530EC7142B497094A2C5EA8DA64C877
DDCTransactionId7638492E47528BB0ECCA518AD38F512D_1, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__4CE82FE331674843D9D63FF6A48098076A341066, StartTime=2015.11.08-17.44.49, HierarchicalDDC, Duration=0.009239ms, RunGuid=RunID9530EC7142B497094A2C5EA8DA64C877
DDCTransactionIdE0CBBFFD41925001FE547A91D690FD3D_1, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___018F4075D3397499A38D84DACDCE819C495D7211, StartTime=2015.11.08-17.44.49, HierarchicalDDC, Duration=0.010006ms, RunGuid=RunID9530EC7142B497094A2C5EA8DA64C877
DDCTransactionId7638492E47528BB0ECCA518AD38F512D_2, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__E2E37627513408BF1569A25F4D84185B4CD2360C, StartTime=2015.11.08-17.44.49, HierarchicalDDC, Duration=0.009492ms, RunGuid=RunID9530EC7142B497094A2C5EA8DA64C877
DDCTransactionIdA5CE5D31426A23B8DC73DDB76A2D6250_1, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__A862D430A5BD3851806098886F46A0DB4C02712D, StartTime=2015.11.08-17.44.49, HierarchicalDDC, Duration=0.014368ms, RunGuid=RunID9530EC7142B497094A2C5EA8DA64C877
DDCTransactionIdE0CBBFFD41925001FE547A91D690FD3D_2, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___1978717988CE205C32B2214CC1D518693DF7C4D6, StartTime=2015.11.08-17.44.49, HierarchicalDDC, Duration=0.017449ms, RunGuid=RunID9530EC7142B497094A2C5EA8DA64C877
DDCTransactionId7638492E47528BB0ECCA518AD38F512D_3, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__075E02065A5353E35623093DF43D23E005525A14, StartTime=2015.11.08-17.44.49, HierarchicalDDC, Duration=0.022836ms, RunGuid=RunID9530EC7142B497094A2C5EA8DA64C877
DDCTransactionIdA5CE5D31426A23B8DC73DDB76A2D6250_2, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__5D8E67CBA0F04E790BD64833DFE9997DDB1D33F0, StartTime=2015.11.08-17.44.49, HierarchicalDDC, Duration=0.018220ms, RunGuid=RunID9530EC7142B497094A2C5EA8DA64C877
